animal,sire,dam
A001,0,0
A002,0,0
A003,0,0
A004,0,0
A005,0,0
A006,0,0
A007,0,0
A008,0,0
A009,0,0
A010,0,0
A011,0,0
A012,0,0
A013,A001,A005
A014,A001,A005
A015,A001,A005
A016,A001,A006
A017,A001,A006
A018,A001,A006
A019,A002,A007
A020,A002,A007
A021,A002,A007
A022,A002,A008
A023,A002,A008
A024,A002,A008
A025,A003,A009
A026,A003,A009
A027,A003,A009
A028,A003,A010
A029,A003,A010
A030,A003,A010
A031,A004,A011
A032,A004,A011
A033,A004,A011
A034,A004,A012
A035,A004,A012
A036,A004,A012
A037,A013,A019
A038,A013,A019
A039,A013,A019
A040,A013,A025
A041,A013,A025
A042,A013,A025
A043,A013,A027
A044,A013,A027
A045,A013,A027
A046,A014,A019
A047,A014,A019
A048,A014,A019
A049,A014,A025
A050,A014,A025
A051,A014,A025
A052,A014,A027
A053,A014,A027
A054,A014,A027
A055,A015,A019
A056,A015,A019
A057,A015,A019
A058,A015,A025
A059,A015,A025
A060,A015,A025
A061,A015,A027
A062,A015,A027
A063,A015,A027
