animal,sex,generation,weight
A013,male,1,62.30
A014,male,1,52.16
A015,male,1,57.08
A016,male,1,65.81
A017,male,1,54.55
A018,male,1,58.19
A019,female,1,37.65
A020,male,1,43.98
A021,male,1,42.30
A022,male,1,46.01
A023,male,1,40.65
A024,male,1,46.82
A025,female,1,48.59
A026,male,1,45.01
A027,female,1,27.90
A028,male,1,50.18
A029,female,1,43.26
A030,male,1,42.25
A031,female,1,54.24
A032,female,1,47.66
A033,male,1,53.01
A034,male,1,44.10
A035,male,1,47.51
A036,female,1,45.16
A037,female,2,48.88
A038,male,2,49.71
A039,female,2,46.67
A040,female,2,54.98
A041,female,2,49.10
A042,female,2,42.59
A043,male,2,47.36
A044,female,2,56.82
A045,female,2,43.21
A046,female,2,53.60
A047,female,2,41.55
A048,female,2,53.06
A049,male,2,67.20
A050,female,2,49.97
A051,female,2,55.71
A052,female,2,43.08
A053,female,2,44.25
A054,female,2,44.60
A055,male,2,50.36
A056,male,2,54.48
A057,female,2,41.31
A058,female,2,58.79
A059,male,2,41.89
A060,male,2,49.97
A061,female,2,52.56
A062,female,2,39.40
A063,male,2,47.50
