env,genotype,rep,yield
E1,G01,1,48.07
E1,G01,2,48.52
E1,G02,1,49.42
E1,G02,2,50.12
E1,G03,1,48.44
E1,G03,2,48.53
E1,G04,1,46.40
E1,G04,2,47.10
E1,G05,1,52.09
E1,G05,2,49.25
E1,G06,1,46.65
E1,G06,2,48.35
E1,G07,1,51.79
E1,G07,2,48.29
E1,G08,1,52.38
E1,G08,2,51.86
E1,G09,1,46.69
E1,G09,2,49.75
E1,G10,1,48.96
E1,G10,2,49.08
E1,G11,1,49.89
E1,G11,2,51.37
E1,G12,1,49.92
E1,G12,2,50.41
E1,G13,1,47.93
E1,G13,2,47.80
E1,G14,1,50.29
E1,G14,2,48.04
E1,G15,1,51.27
E1,G15,2,50.88
E1,G16,1,49.41
E1,G16,2,49.33
E1,G17,1,49.36
E1,G17,2,48.22
E1,G18,1,49.21
E1,G18,2,49.43
E1,G19,1,48.14
E1,G19,2,47.53
E1,G20,1,49.95
E1,G20,2,48.79
E1,G21,1,46.08
E1,G21,2,48.94
E1,G22,1,49.98
E1,G22,2,48.63
E1,G23,1,48.82
E1,G23,2,49.11
E1,G24,1,51.83
E1,G24,2,51.94
E1,G25,1,49.54
E1,G25,2,51.96
E1,G26,1,48.68
E1,G26,2,51.26
E1,G27,1,46.78
E1,G27,2,47.25
E1,G28,1,51.97
E1,G28,2,51.48
E1,G29,1,49.54
E1,G29,2,48.88
E1,G30,1,50.69
E1,G30,2,48.45
E2,G01,1,60.17
E2,G01,2,61.21
E2,G02,1,58.32
E2,G02,2,57.75
E2,G03,1,59.75
E2,G03,2,59.48
E2,G04,1,56.41
E2,G04,2,56.76
E2,G05,1,57.29
E2,G05,2,56.49
E2,G06,1,57.14
E2,G06,2,56.16
E2,G07,1,58.94
E2,G07,2,61.57
E2,G08,1,64.30
E2,G08,2,64.87
E2,G09,1,56.37
E2,G09,2,56.78
E2,G10,1,56.51
E2,G10,2,56.65
E2,G11,1,62.04
E2,G11,2,60.84
E2,G12,1,59.55
E2,G12,2,59.53
E2,G13,1,62.33
E2,G13,2,58.14
E2,G14,1,58.67
E2,G14,2,57.48
E2,G15,1,61.03
E2,G15,2,59.28
E2,G16,1,61.79
E2,G16,2,63.27
E2,G17,1,56.25
E2,G17,2,56.45
E2,G18,1,58.17
E2,G18,2,59.94
E2,G19,1,55.00
E2,G19,2,52.33
E2,G20,1,57.29
E2,G20,2,55.73
E2,G21,1,51.03
E2,G21,2,54.36
E2,G22,1,60.77
E2,G22,2,59.20
E2,G23,1,55.71
E2,G23,2,55.99
E2,G24,1,61.95
E2,G24,2,60.76
E2,G25,1,60.27
E2,G25,2,60.15
E2,G26,1,58.58
E2,G26,2,59.52
E2,G27,1,54.37
E2,G27,2,53.96
E2,G28,1,56.98
E2,G28,2,58.88
E2,G29,1,60.08
E2,G29,2,62.26
E2,G30,1,59.31
E2,G30,2,60.70
E3,G01,1,44.97
E3,G01,2,43.35
E3,G02,1,48.14
E3,G02,2,47.82
E3,G03,1,43.79
E3,G03,2,45.30
E3,G04,1,45.73
E3,G04,2,42.06
E3,G05,1,44.85
E3,G05,2,44.46
E3,G06,1,44.75
E3,G06,2,43.33
E3,G07,1,43.32
E3,G07,2,43.43
E3,G08,1,48.18
E3,G08,2,47.13
E3,G09,1,42.65
E3,G09,2,44.53
E3,G10,1,41.47
E3,G10,2,41.67
E3,G11,1,42.93
E3,G11,2,47.08
E3,G12,1,45.55
E3,G12,2,45.49
E3,G13,1,46.10
E3,G13,2,45.42
E3,G14,1,46.79
E3,G14,2,46.22
E3,G15,1,43.81
E3,G15,2,44.13
E3,G16,1,46.86
E3,G16,2,45.69
E3,G17,1,43.81
E3,G17,2,43.17
E3,G18,1,44.30
E3,G18,2,47.05
E3,G19,1,43.53
E3,G19,2,42.99
E3,G20,1,43.06
E3,G20,2,42.13
E3,G21,1,43.85
E3,G21,2,45.00
E3,G22,1,44.85
E3,G22,2,45.06
E3,G23,1,42.33
E3,G23,2,42.73
E3,G24,1,43.23
E3,G24,2,44.90
E3,G25,1,44.15
E3,G25,2,46.28
E3,G26,1,42.71
E3,G26,2,44.36
E3,G27,1,44.63
E3,G27,2,42.38
E3,G28,1,42.78
E3,G28,2,43.76
E3,G29,1,46.01
E3,G29,2,44.80
E3,G30,1,45.89
E3,G30,2,47.79
E4,G01,1,54.74
E4,G01,2,54.81
E4,G02,1,53.94
E4,G02,2,55.61
E4,G03,1,52.85
E4,G03,2,53.02
E4,G04,1,53.52
E4,G04,2,50.85
E4,G05,1,54.70
E4,G05,2,55.24
E4,G06,1,53.56
E4,G06,2,53.92
E4,G07,1,56.17
E4,G07,2,53.53
E4,G08,1,57.49
E4,G08,2,56.56
E4,G09,1,52.96
E4,G09,2,54.72
E4,G10,1,55.41
E4,G10,2,53.08
E4,G11,1,54.40
E4,G11,2,54.83
E4,G12,1,56.56
E4,G12,2,55.95
E4,G13,1,55.56
E4,G13,2,55.66
E4,G14,1,51.80
E4,G14,2,52.12
E4,G15,1,55.98
E4,G15,2,55.63
E4,G16,1,57.92
E4,G16,2,59.59
E4,G17,1,52.99
E4,G17,2,52.34
E4,G18,1,51.85
E4,G18,2,54.39
E4,G19,1,48.71
E4,G19,2,49.37
E4,G20,1,52.85
E4,G20,2,52.67
E4,G21,1,51.83
E4,G21,2,49.92
E4,G22,1,53.73
E4,G22,2,53.36
E4,G23,1,53.21
E4,G23,2,55.20
E4,G24,1,55.31
E4,G24,2,54.09
E4,G25,1,53.48
E4,G25,2,54.85
E4,G26,1,53.60
E4,G26,2,52.41
E4,G27,1,50.90
E4,G27,2,49.35
E4,G28,1,55.19
E4,G28,2,55.13
E4,G29,1,56.84
E4,G29,2,54.93
E4,G30,1,55.87
E4,G30,2,55.07
