genotype,rep,row,col,yield
G46,1,1,1,5.820
G17,1,1,2,5.065
G05,1,1,3,5.515
G09,1,1,4,4.805
G08,1,1,5,5.228
G36,2,1,6,6.909
G50,2,1,7,7.733
G53,2,1,8,6.057
G57,2,1,9,5.627
G28,2,1,10,6.847
G10,3,1,11,4.756
G23,3,1,12,4.923
G25,3,1,13,6.881
G13,3,1,14,5.825
G05,3,1,15,6.693
G28,4,1,16,7.305
G55,4,1,17,6.070
G16,4,1,18,5.588
G21,4,1,19,6.426
G51,4,1,20,7.104
G55,1,2,1,6.124
G15,1,2,2,5.660
G57,1,2,3,5.404
G19,1,2,4,5.494
G20,1,2,5,4.993
G15,2,2,6,6.183
G09,2,2,7,5.671
G46,2,2,8,6.463
G05,2,2,9,5.867
G21,2,2,10,6.065
G18,3,2,11,5.773
G11,3,2,12,5.053
G46,3,2,13,5.617
G08,3,2,14,5.035
G24,3,2,15,5.688
G06,4,2,16,6.916
G15,4,2,17,NA
G53,4,2,18,5.822
G34,4,2,19,6.682
G25,4,2,20,5.993
G14,1,3,1,5.307
G52,1,3,2,5.764
G40,1,3,3,6.360
G13,1,3,4,5.650
G26,1,3,5,7.243
G22,2,3,6,6.842
G45,2,3,7,6.446
G44,2,3,8,7.183
G33,2,3,9,6.593
G18,2,3,10,7.184
G48,3,3,11,5.162
G47,3,3,12,5.310
G04,3,3,13,5.804
G29,3,3,14,4.230
G41,3,3,15,5.687
G17,4,3,16,7.060
G49,4,3,17,7.382
G29,4,3,18,5.757
G59,4,3,19,7.241
G22,4,3,20,6.583
G51,1,4,1,6.909
G07,1,4,2,5.496
G42,1,4,3,5.391
G31,1,4,4,5.520
G36,1,4,5,6.955
G24,2,4,6,7.105
G14,2,4,7,6.599
G31,2,4,8,6.653
G55,2,4,9,6.283
G12,2,4,10,6.645
G56,3,4,11,4.720
G12,3,4,12,4.258
G03,3,4,13,4.373
G14,3,4,14,4.583
G01,3,4,15,4.826
G37,4,4,16,7.180
G09,4,4,17,6.599
G26,4,4,18,8.171
G04,4,4,19,7.167
G13,4,4,20,5.241
G38,1,5,1,6.496
G11,1,5,2,5.896
G59,1,5,3,6.388
G21,1,5,4,5.873
G53,1,5,5,5.687
G52,2,5,6,7.711
G42,2,5,7,7.020
G51,2,5,8,8.271
G10,2,5,9,6.579
G20,2,5,10,5.872
G52,3,5,11,5.227
G57,3,5,12,4.327
G45,3,5,13,5.657
G59,3,5,14,5.337
G39,3,5,15,5.858
G14,4,5,16,6.391
G11,4,5,17,6.462
G57,4,5,18,5.610
G52,4,5,19,6.472
G60,4,5,20,5.509
G30,1,6,1,6.794
G47,1,6,2,8.077
G60,1,6,3,6.505
G33,1,6,4,6.537
G18,1,6,5,7.351
G40,2,6,6,7.477
G41,2,6,7,7.405
G48,2,6,8,7.063
G30,2,6,9,6.503
G43,2,6,10,6.546
G07,3,6,11,5.408
G37,3,6,12,5.127
G53,3,6,13,5.112
G44,3,6,14,6.326
G32,3,6,15,6.233
G19,4,6,16,5.502
G02,4,6,17,6.460
G32,4,6,18,6.520
G50,4,6,19,7.657
G12,4,6,20,6.936
G27,1,7,1,6.566
G03,1,7,2,6.115
G50,1,7,3,8.676
G56,1,7,4,6.060
G37,1,7,5,6.681
G35,2,7,6,6.887
G02,2,7,7,7.593
G32,2,7,8,7.866
G59,2,7,9,5.642
G07,2,7,10,6.151
G33,3,7,11,5.937
G35,3,7,12,4.902
G17,3,7,13,5.596
G50,3,7,14,7.457
G49,3,7,15,7.103
G23,4,7,16,5.180
G54,4,7,17,5.963
G56,4,7,18,5.742
G01,4,7,19,5.646
G36,4,7,20,6.834
G34,1,8,1,7.195
